product,orderId,clientId,gender,orderdate,grossmarg
coffee,582,230,female,1/8/2018,45
coffee,2,276,male,2/18/2018,45
coffee,725,277,female,2/3/2018,45
coffee,597,279,male,3/5/2018,45
coffee,761,92,female,2/8/2018,45
coffee,95,190,male,4/5/2018,45
coffee,426,241,male,1/30/2018,45
coffee,321,115,male,1/18/2018,45
coffee,239,15,female,3/15/2018,45
coffee,822,164,female,2/17/2018,45
coffee,430,167,female,3/16/2018,45
coffee,519,86,female,3/2/2018,45
coffee,914,246,male,2/27/2018,45
coffee,392,106,male,3/8/2018,45
coffee,505,51,male,3/1/2018,45
coffee,875,235,female,1/8/2018,45
coffee,328,115,male,2/5/2018,45
coffee,76,218,male,3/6/2018,45
coffee,1,166,male,4/7/2018,45
coffee,775,143,female,4/11/2018,45
coffee,135,26,male,1/8/2018,45
coffee,695,97,female,1/9/2018,45
coffee,858,295,female,1/15/2018,45
coffee,364,258,female,1/12/2018,45
coffee,58,73,male,2/26/2018,45
coffee,165,225,female,4/2/2018,45
coffee,987,132,male,2/15/2018,45
coffee,505,51,male,3/1/2018,45
coffee,305,275,female,1/17/2018,45
coffee,786,290,female,2/18/2018,45
coffee,527,220,female,1/28/2018,45
coffee,903,196,female,3/12/2018,45
coffee,14,297,female,1/21/2018,45
coffee,58,73,male,2/26/2018,45
coffee,222,284,female,1/19/2018,45
coffee,82,266,male,3/18/2018,45
coffee,200,285,male,1/21/2018,45
coffee,639,260,female,3/12/2018,45
coffee,448,38,female,3/26/2018,45
coffee,560,224,female,1/2/2018,45
coffee,724,174,female,3/25/2018,45
coffee,113,250,female,1/12/2018,45
coffee,667,216,male,1/29/2018,45
coffee,428,31,male,2/22/2018,45
coffee,139,85,female,3/25/2018,45
coffee,18,47,male,2/14/2018,45
coffee,857,21,male,2/7/2018,45
coffee,751,117,male,3/24/2018,45
coffee,785,76,female,2/9/2018,45
coffee,375,72,male,4/4/2018,45
coffee,267,1,male,2/26/2018,45
coffee,301,253,female,4/5/2018,45
coffee,921,148,female,3/5/2018,45
coffee,534,168,female,2/1/2018,45
coffee,700,34,male,3/15/2018,45
coffee,451,175,female,4/5/2018,45
