,使用者ID,是否匿名,留言時間,是否隱藏,訂單編號,給星,留言內容,商品規格
0,14408270.0,1.0,1585207626.0,0.0,38656035571632.0,5.0,,['黑-M']
1,53477665.0,1.0,1583942017.0,0.0,37459652830435.0,5.0,,['黑-S']
2,4038463.0,1.0,1583538533.0,0.0,36941850497288.0,5.0,,['黑-XL']
3,60818566.0,1.0,1582471158.0,0.0,35886288967932.0,5.0,,['黑-L']
4,78762269.0,1.0,1582126122.0,0.0,35449686154367.0,5.0,,['黑-M']
5,60818566.0,1.0,1581699017.0,0.0,34925161357863.0,5.0,,['黑-L']
6,27410206.0,1.0,1580842965.0,0.0,34191503063872.0,5.0,,['黑-M']
7,13408980.0,1.0,1580628364.0,0.0,33062092483714.0,5.0,,['黑-S']
8,27410206.0,1.0,1580492346.0,0.0,33844334842653.0,5.0,,['黑-L']
9,14155664.0,1.0,1579223131.0,0.0,32438082806183.0,5.0,,['白-M']
10,91933240.0,1.0,1578051264.0,0.0,31413450192773.0,2.0,,['黑-M']
11,141488626.0,1.0,1576108657.0,0.0,2279276132.0,5.0,,['黑-L']
12,198617717.0,1.0,1574389720.0,0.0,2175908544.0,5.0,,['黑-L']
13,19267388.0,1.0,1565755598.0,0.0,1626144930.0,5.0,,['白-M']
14,7843967.0,1.0,1565343052.0,0.0,1600470377.0,5.0,,['黑-M']
15,73027192.0,1.0,1565257379.0,0.0,1595616609.0,5.0,,['黑-L']
16,4513500.0,1.0,1564117508.0,0.0,1549655716.0,5.0,,"['白-L', '黑-L']"
17,16119611.0,1.0,1564057315.0,0.0,1551151615.0,5.0,,['黑-M']
18,15718491.0,1.0,1563793155.0,0.0,1510807956.0,5.0,,['白-M']
19,2296663.0,1.0,1563211004.0,0.0,1488347208.0,5.0,,['黑-M']
20,8921238.0,1.0,1562391514.0,0.0,1483470623.0,5.0,,['黑-S']
21,35768444.0,1.0,1561063093.0,0.0,1424383298.0,5.0,,['黑-M']
22,93798283.0,1.0,1560576038.0,0.0,1413834610.0,5.0,,['黑-M']
